FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,borne_fontaine_organisme,geometry
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1068,Maritime,Yoto,Yoto 3,Gboto,TDE,POINT (1.5235504315596071 6.671374288141423)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1069,Maritime,Yoto,Yoto 3,Essé-Godjin,TDE,POINT (1.5410392877926795 6.684356495039909)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_106a,Maritime,Yoto,Yoto 3,Essé-Godjin,TDE,POINT (1.539325 6.682376666666667)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_106b,Maritime,Yoto,Yoto 3,Gboto,TDE,POINT (1.5318416666666668 6.676735000000001)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_106c,Maritime,Yoto,Yoto 2,Ahépé,TDE,POINT (1.3976616666666668 6.605078333333335)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_106d,Maritime,Yoto,Yoto 2,Ahépé,TDE,POINT (1.3978666666666686 6.606129999999998)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_106e,Maritime,Yoto,Yoto 2,Ahépé,TDE,POINT (1.397763333333334 6.605113333333334)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_106f,Maritime,Yoto,Yoto 2,Ahépé,TDE,POINT (1.39799 6.603656666666661)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1070,Maritime,Yoto,Yoto 2,Ahépé,TDE,POINT (1.3999850000000007 6.603906666666665)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1071,Maritime,Yoto,Yoto 2,Ahépé,TDE,POINT (1.408248333333333 6.604668333333333)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1072,Maritime,Yoto,Yoto 2,Ahépé,TDE,POINT (1.395926666666667 6.610941666666668)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1073,Maritime,Yoto,Yoto 2,Ahépé,TDE,POINT (1.395618333333333 6.609110000000001)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1074,Maritime,Yoto,Yoto 2,Ahépé,TDE,POINT (1.3977883333333336 6.6085499999999975)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1075,Maritime,Yoto,Yoto 2,Ahépé,TDE,POINT (1.3970816666666663 6.610291666666663)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1076,Maritime,Yoto,Yoto 2,Ahépé,TDE,POINT (1.3985799999999993 6.608736666666668)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1077,Maritime,Yoto,Yoto 2,Ahépé,TDE,POINT (1.3981183333333334 6.607348333333334)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1078,Maritime,Yoto,Yoto 2,Ahépé,TDE,POINT (1.3978616666666668 6.609566666666672)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_1079,Maritime,Yoto,Yoto 2,Ahépé,TDE,POINT (1.4002333333333337 6.608614999999999)
_mview_eau_bornes_fontaines.fid--6cedeb21_19489067e9f_107a,Maritime,Yoto,Yoto 2,Ahépé,TDE,POINT (1.401565 6.608124999999995)
