FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,utilisation_cout,toilette_type,geometry
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-7ec,Maritime,Golfe,Golfe 3,Bè-Ouest,Djidjole,Nsp,{Latrines a eau},POINT (1.2029166666666666 6.181013333333334)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-7eb,Maritime,Golfe,Golfe 3,Bè-Ouest,Nukafu,Payant,"{Latrines a eau,Douches}",POINT (1.233372045984745 6.161603911677847)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-7ea,Maritime,Golfe,Golfe 3,Bè-Ouest,AVEDJI,Payant,{Pissotieres},POINT (1.2121860181075335 6.159785498678084)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-7e9,Maritime,Golfe,Golfe 3,Bè-Ouest,DOUMASSESSE,Payant,{Pissotieres},POINT (1.2188585186246046 6.1572687105287605)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-7e8,Maritime,Golfe,Golfe 3,Bè-Ouest,AVEDJI,Payant,"{Latrines a eau,Pissotieres}",POINT (1.2129966666666665 6.160381666666666)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-7e7,Maritime,Golfe,Golfe 3,Bè-Ouest,BE-KLEVE,Gratuit,{WCs},POINT (1.2160666666666666 6.187479999999999)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-7e6,Maritime,Golfe,Golfe 3,Bè-Ouest,BE KLEVE,Gratuit,{WCs},POINT (1.21814 6.186165)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-7e5,Maritime,Vo,Vo 3,Dzrékpo,Badjenope,Gratuit,{Latrines seches},POINT (1.5625968430955208 6.4111164515425685)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-7e4,Maritime,Vo,Vo 3,Dzrékpo,Klologo Gati,Payant,{Pissotieres},POINT (1.5826723023766804 6.414454554363711)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-7e3,Maritime,Vo,Vo 3,Dzrékpo,Badjenope,Nsp,{autre},POINT (1.5660166565633036 6.424857543358778)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-7e2,Maritime,Golfe,Golfe 1,Bè-Est,Adakpame Togome,Payant,{Latrines seches},POINT (1.29428 6.179376666666667)
_mview_villehygiene_toilettes_ville.fid--6cedeb21_19489067e9f_-7e1,Maritime,Golfe,Golfe 1,Bè-Est,Be Agodogan,Payant,{Latrines a eau},POINT (1.2417968500839958 6.143904646310029)
