FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,forage_nom,forage_type,batiment_nom,geometry
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_36ae,Kara,Kozah,Kozah 1,Commune De Kara,Lama Fioude,PEA LAMA FIOUDE,Avec pompe et tank,Nsp,POINT (1.204955 9.585281666666669)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_36af,Kara,Kozah,Kozah 1,Lassa,Gnangbade,PEA GNANGBADE,Avec pompe et tank,Nsp,POINT (1.2110300000000005 9.600831666666666)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_36b0,Kara,Kozah,Kozah 1,Lassa,Nandade,PEA NANDADE,Avec pompe et tank,Nsp,POINT (1.219886666666667 9.591386666666669)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_36b1,Kara,Assoli,Assoli 3,Soudou,Kolo,PEA KOLO,Avec pompe et tank,MOSQUÉE de KOLO,POINT (1.3157683333333334 9.359036666666665)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_36b2,Kara,Assoli,Assoli 3,Soudou,Kolo,PEA KOLO,Avec tank sans pompe,Mosquée centrale de kolo,POINT (1.317033489133237 9.35896787935632)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_36b3,Kara,Assoli,Assoli 3,Soudou,Gninguelia Agbebou,PEA GNINGUELIA AGBEBOU,Nsp,Nsp,POINT (1.3344444689035568 9.38888882635681)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_36b4,Plateaux,Amou,Amou 1,Amlamé (Ouma),One,PEA ONE,Avec pompe et tank,Nsp,POINT (0.9042916666666667 7.423841666666668)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_36b5,Plateaux,Amou,Amou 1,Amlamé (Ouma),One,PEA ONE,Avec pompe et tank,Nsp,POINT (0.8953283333333334 7.427866666666666)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_36b6,Plateaux,Wawa,Wawa 1,Tomégbé,Tomegbe,PEA TOMEGBE,Avec pompe et tank,Nsp,POINT (0.6036650000000009 7.507601666666666)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_36b7,Maritime,Vo,Vo 4,Sévagan,Kpota,PEA KPOTA,Avec tank sans pompe,Nsp,POINT (1.3964200000000004 6.3230683333333335)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_36b8,Maritime,Zio,Zio 3,Agbélouvé,Agokpala,PEA AGOKPALA,Avec pompe et tank,Mosquée,POINT (0.9355766666666667 6.760564999999999)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_36b9,Maritime,Zio,Zio 3,Agbélouvé,Gape Wonougba,PEA GAPE WONOUGBA,Sans pompe ni tank,Nsp,POINT (0.9055349999999996 6.75003)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_36ba,Plateaux,Danyi,Danyi 1,Danyi-Atigba,Zogbegan,PEA ZOGBEGAN,Avec tank sans pompe,Nsp,POINT (0.6885216666666674 7.226146666666668)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_36bb,Plateaux,Danyi,Danyi 1,Danyi-Atigba,Apeyeme,PEA APEYEME,Avec tank sans pompe,CHP APEYEME,POINT (0.6885766666666662 7.219886666666667)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_36bc,Plateaux,Danyi,Danyi 2,Ahlon,Bogo,PEA BOGO,Avec tank sans pompe,Nsp,POINT (0.6663616666666665 7.260778333333336)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_36bd,Plateaux,Kpélé,Kpélé 1,Kpélé-Novivé,Tsiko,PEA TSIKO,Avec pompe et tank,Hôpital baptiste biblique de Tsiko,POINT (0.7002216666666672 7.126766666666667)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_36be,Plateaux,Kpélé,Kpélé 1,Kpélé-Novivé,Tsiko,PEA TSIKO,Avec pompe et tank,HÔPITAL BAPTISTE BIBLIQUE,POINT (0.7001233333333337 7.126509999999999)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_36bf,Plateaux,Haho,Haho 2,Djemegni,Djemegni,PEA DJEMEGNI,Avec tank sans pompe,Nsp,POINT (1.2551716666666661 6.937418333333333)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_36c0,Plateaux,Haho,Haho 1,Atchavé,Djekloe,PEA DJEKLOE,Avec tank sans pompe,Nsp,POINT (1.2334033333333336 6.8922566666666665)
_mview_eau_postes_eau_autonomes.fid--6cedeb21_19489067e9f_36c1,Savanes,Oti-Sud,Oti-Sud 2,Kountoire,Chiranda,PEA Chiranda,Avec pompe et tank,Nsp,POINT (0.601051666666667 10.07958)
